Methodology,Mean Sensitivity (+/- SE),Mean FDR (+/- SE),Sample Size Per Condition,Fold-Change,Distribution
TMM Wilcox,0.06 +/- (0.057),0,15,3,Negative Binomial
TMM Wilcox,0.133 +/- (0.055),0.004 +/- (0.019),15,5,Negative Binomial
TMM Wilcox,0.122 +/- (0.058),0.01 +/- (0.05),25,3,Negative Binomial
TMM Wilcox,0.22 +/- (0.042),0.04 +/- (0.113),25,5,Negative Binomial
TMM Wilcox,0,0,5,1.5,Negative Binomial
TMM Wilcox,0,0,15,1.5,Negative Binomial
TMM Wilcox,0.003 +/- (0.011),0,25,1.5,Negative Binomial
TMM Wilcox,0.016 +/- (0.023),0,50,1.5,Negative Binomial
TMM Wilcox,0.069 +/- (0.037),0,100,1.5,Negative Binomial
TMM Wilcox,0.103 +/- (0.052),0,150,1.5,Negative Binomial
TMM Wilcox,0,0,5,1.5,Beta-Binomial
